GLOSATIPOESTABLECIMIENTO,fecha,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
Hospital,2024-01-01,1,Atenciones de urgencia - Total,3464,231,415,532,1701,585
Hospital,2024-01-01,12,Atenciones de urgencia - Total Sistema Circulatorio,119,0,1,1,50,67
Hospital,2024-01-01,13,Atenciones de urgencia - Infarto agudo miocardio,10,0,0,0,4,6
Hospital,2024-01-01,14,Atenciones de urgencia - Accidente vascular encefálico,15,0,0,0,5,10
Hospital,2024-01-01,15,Atenciones de urgencia - Crisis hipertensiva,9,0,0,0,7,2
Hospital,2024-01-01,16,Atenciones de urgencia - Arritmia grave,12,0,0,0,4,8
Hospital,2024-01-01,17,Atenciones de urgencia - Otras causas circulatorias,73,0,1,1,30,41
Hospital,2024-01-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,39,0,0,0,16,23
Hospital,2024-01-01,25,Hospitalizaciones - Total,381,22,10,30,191,128
Hospital,2024-02-01,1,Atenciones de urgencia - Total,4127,236,413,593,2146,739
Hospital,2024-02-01,12,Atenciones de urgencia - Total Sistema Circulatorio,162,0,0,3,77,82
Hospital,2024-02-01,13,Atenciones de urgencia - Infarto agudo miocardio,5,0,0,0,2,3
Hospital,2024-02-01,14,Atenciones de urgencia - Accidente vascular encefálico,23,0,0,0,10,13
Hospital,2024-02-01,15,Atenciones de urgencia - Crisis hipertensiva,9,0,0,0,8,1
Hospital,2024-02-01,16,Atenciones de urgencia - Arritmia grave,11,0,0,0,4,7
Hospital,2024-02-01,17,Atenciones de urgencia - Otras causas circulatorias,114,0,0,3,53,58
Hospital,2024-02-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,50,0,0,0,25,25
Hospital,2024-02-01,25,Hospitalizaciones - Total,455,17,21,27,226,164
Hospital,2024-03-01,1,Atenciones de urgencia - Total,4043,222,361,518,2127,815
Hospital,2024-03-01,12,Atenciones de urgencia - Total Sistema Circulatorio,184,0,1,1,84,98
Hospital,2024-03-01,13,Atenciones de urgencia - Infarto agudo miocardio,8,0,0,0,7,1
Hospital,2024-03-01,14,Atenciones de urgencia - Accidente vascular encefálico,31,0,0,0,11,20
Hospital,2024-03-01,15,Atenciones de urgencia - Crisis hipertensiva,12,0,0,0,7,5
Hospital,2024-03-01,16,Atenciones de urgencia - Arritmia grave,21,0,1,0,9,11
Hospital,2024-03-01,17,Atenciones de urgencia - Otras causas circulatorias,112,0,0,1,50,61
Hospital,2024-03-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,74,0,0,0,29,45
Hospital,2024-03-01,25,Hospitalizaciones - Total,526,18,24,24,234,226
Hospital,2024-04-01,1,Atenciones de urgencia - Total,5375,294,586,1370,2378,747
Hospital,2024-04-01,12,Atenciones de urgencia - Total Sistema Circulatorio,183,1,1,6,92,83
Hospital,2024-04-01,13,Atenciones de urgencia - Infarto agudo miocardio,9,0,0,0,7,2
Hospital,2024-04-01,14,Atenciones de urgencia - Accidente vascular encefálico,27,0,0,0,11,16
Hospital,2024-04-01,15,Atenciones de urgencia - Crisis hipertensiva,22,0,0,0,10,12
Hospital,2024-04-01,16,Atenciones de urgencia - Arritmia grave,15,0,1,2,8,4
Hospital,2024-04-01,17,Atenciones de urgencia - Otras causas circulatorias,110,1,0,4,56,49
Hospital,2024-04-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,58,0,0,0,32,26
Hospital,2024-04-01,25,Hospitalizaciones - Total,493,18,28,44,227,176
Hospital,2024-05-01,1,Atenciones de urgencia - Total,3975,221,582,768,1806,598
Hospital,2024-05-01,12,Atenciones de urgencia - Total Sistema Circulatorio,154,0,2,2,80,70
Hospital,2024-05-01,13,Atenciones de urgencia - Infarto agudo miocardio,4,0,0,0,2,2
Hospital,2024-05-01,14,Atenciones de urgencia - Accidente vascular encefálico,36,0,0,0,21,15
Hospital,2024-05-01,15,Atenciones de urgencia - Crisis hipertensiva,12,0,0,0,8,4
Hospital,2024-05-01,16,Atenciones de urgencia - Arritmia grave,14,0,0,0,2,12
Hospital,2024-05-01,17,Atenciones de urgencia - Otras causas circulatorias,88,0,2,2,47,37
Hospital,2024-05-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,53,0,0,0,26,27
Hospital,2024-05-01,25,Hospitalizaciones - Total,461,18,21,29,228,165
Hospital,2024-06-01,1,Atenciones de urgencia - Total,3555,186,417,661,1640,651
Hospital,2024-06-01,12,Atenciones de urgencia - Total Sistema Circulatorio,161,0,0,4,80,77
Hospital,2024-06-01,13,Atenciones de urgencia - Infarto agudo miocardio,9,0,0,0,2,7
Hospital,2024-06-01,14,Atenciones de urgencia - Accidente vascular encefálico,22,0,0,0,12,10
Hospital,2024-06-01,15,Atenciones de urgencia - Crisis hipertensiva,7,0,0,0,2,5
Hospital,2024-06-01,16,Atenciones de urgencia - Arritmia grave,17,0,0,0,7,10
Hospital,2024-06-01,17,Atenciones de urgencia - Otras causas circulatorias,106,0,0,4,57,45
Hospital,2024-06-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,62,0,0,0,32,30
Hospital,2024-06-01,25,Hospitalizaciones - Total,473,17,25,27,215,189
Hospital,2024-07-01,1,Atenciones de urgencia - Total,3980,261,422,507,2014,776
Hospital,2024-07-01,12,Atenciones de urgencia - Total Sistema Circulatorio,193,0,2,7,87,97
Hospital,2024-07-01,13,Atenciones de urgencia - Infarto agudo miocardio,8,0,0,0,4,4
Hospital,2024-07-01,14,Atenciones de urgencia - Accidente vascular encefálico,25,0,0,0,7,18
Hospital,2024-07-01,15,Atenciones de urgencia - Crisis hipertensiva,9,0,0,0,7,2
Hospital,2024-07-01,16,Atenciones de urgencia - Arritmia grave,19,0,0,2,6,11
Hospital,2024-07-01,17,Atenciones de urgencia - Otras causas circulatorias,132,0,2,5,63,62
Hospital,2024-07-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,64,0,0,0,24,40
Hospital,2024-07-01,25,Hospitalizaciones - Total,547,42,34,37,211,223
Hospital,2024-08-01,1,Atenciones de urgencia - Total,4615,244,555,1195,1880,741
Hospital,2024-08-01,12,Atenciones de urgencia - Total Sistema Circulatorio,169,0,2,7,70,90
Hospital,2024-08-01,13,Atenciones de urgencia - Infarto agudo miocardio,9,0,0,0,4,5
Hospital,2024-08-01,14,Atenciones de urgencia - Accidente vascular encefálico,27,0,0,0,12,15
Hospital,2024-08-01,15,Atenciones de urgencia - Crisis hipertensiva,10,0,0,0,5,5
Hospital,2024-08-01,16,Atenciones de urgencia - Arritmia grave,15,0,0,0,3,12
Hospital,2024-08-01,17,Atenciones de urgencia - Otras causas circulatorias,108,0,2,7,46,53
Hospital,2024-08-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,64,0,1,0,19,44
Hospital,2024-08-01,25,Hospitalizaciones - Total,549,32,48,49,201,219
Hospital,2024-09-01,1,Atenciones de urgencia - Total,3850,240,597,780,1701,532
Hospital,2024-09-01,12,Atenciones de urgencia - Total Sistema Circulatorio,142,0,1,4,72,65
Hospital,2024-09-01,13,Atenciones de urgencia - Infarto agudo miocardio,7,0,0,0,6,1
Hospital,2024-09-01,14,Atenciones de urgencia - Accidente vascular encefálico,22,0,0,0,10,12
Hospital,2024-09-01,15,Atenciones de urgencia - Crisis hipertensiva,8,0,0,0,8,0
Hospital,2024-09-01,16,Atenciones de urgencia - Arritmia grave,15,0,0,0,6,9
Hospital,2024-09-01,17,Atenciones de urgencia - Otras causas circulatorias,90,0,1,4,42,43
Hospital,2024-09-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,50,0,0,1,22,27
Hospital,2024-09-01,25,Hospitalizaciones - Total,427,17,35,28,187,160
Hospital,2024-10-01,1,Atenciones de urgencia - Total,4908,227,554,1347,2076,704
Hospital,2024-10-01,12,Atenciones de urgencia - Total Sistema Circulatorio,175,0,0,3,91,81
Hospital,2024-10-01,13,Atenciones de urgencia - Infarto agudo miocardio,8,0,0,0,4,4
Hospital,2024-10-01,14,Atenciones de urgencia - Accidente vascular encefálico,27,0,0,0,14,13
Hospital,2024-10-01,15,Atenciones de urgencia - Crisis hipertensiva,10,0,0,0,6,4
Hospital,2024-10-01,16,Atenciones de urgencia - Arritmia grave,16,0,0,2,8,6
Hospital,2024-10-01,17,Atenciones de urgencia - Otras causas circulatorias,114,0,0,1,59,54
Hospital,2024-10-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,53,0,0,0,20,33
Hospital,2024-10-01,25,Hospitalizaciones - Total,504,22,34,51,220,177
Hospital,2024-11-01,1,Atenciones de urgencia - Total,4043,234,491,705,2009,604
Hospital,2024-11-01,12,Atenciones de urgencia - Total Sistema Circulatorio,138,0,0,2,69,67
Hospital,2024-11-01,13,Atenciones de urgencia - Infarto agudo miocardio,10,0,0,0,4,6
Hospital,2024-11-01,14,Atenciones de urgencia - Accidente vascular encefálico,14,0,0,0,5,9
Hospital,2024-11-01,15,Atenciones de urgencia - Crisis hipertensiva,11,0,0,0,4,7
Hospital,2024-11-01,16,Atenciones de urgencia - Arritmia grave,14,0,0,0,4,10
Hospital,2024-11-01,17,Atenciones de urgencia - Otras causas circulatorias,89,0,0,2,52,35
Hospital,2024-11-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,44,0,0,3,16,25
Hospital,2024-11-01,25,Hospitalizaciones - Total,412,13,23,43,198,135
Hospital,2024-12-01,1,Atenciones de urgencia - Total,3952,218,525,834,1789,586
Hospital,2024-12-01,12,Atenciones de urgencia - Total Sistema Circulatorio,124,0,0,3,68,53
Hospital,2024-12-01,13,Atenciones de urgencia - Infarto agudo miocardio,7,0,0,0,2,5
Hospital,2024-12-01,14,Atenciones de urgencia - Accidente vascular encefálico,22,0,0,0,12,10
Hospital,2024-12-01,15,Atenciones de urgencia - Crisis hipertensiva,7,0,0,0,4,3
Hospital,2024-12-01,16,Atenciones de urgencia - Arritmia grave,13,0,0,0,5,8
Hospital,2024-12-01,17,Atenciones de urgencia - Otras causas circulatorias,75,0,0,3,45,27
Hospital,2024-12-01,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,45,0,0,0,20,25
Hospital,2024-12-01,25,Hospitalizaciones - Total,449,16,29,37,209,158
Hospital,2024-01-02,1,Atenciones de urgencia - Total,4595,263,536,670,2312,814
Hospital,2024-01-02,12,Atenciones de urgencia - Total Sistema Circulatorio,161,0,2,1,75,83
Hospital,2024-01-02,13,Atenciones de urgencia - Infarto agudo miocardio,11,0,0,0,6,5
Hospital,2024-01-02,14,Atenciones de urgencia - Accidente vascular encefálico,17,0,0,0,8,9
Hospital,2024-01-02,15,Atenciones de urgencia - Crisis hipertensiva,5,0,0,0,3,2
Hospital,2024-01-02,16,Atenciones de urgencia - Arritmia grave,15,0,0,0,6,9
Hospital,2024-01-02,17,Atenciones de urgencia - Otras causas circulatorias,113,0,2,1,52,58
Hospital,2024-01-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,50,0,0,0,22,28
Hospital,2024-01-02,25,Hospitalizaciones - Total,520,33,26,47,237,177
Hospital,2024-02-02,1,Atenciones de urgencia - Total,3904,247,377,547,2035,698
Hospital,2024-02-02,12,Atenciones de urgencia - Total Sistema Circulatorio,171,0,0,4,84,83
Hospital,2024-02-02,13,Atenciones de urgencia - Infarto agudo miocardio,2,0,0,0,2,0
Hospital,2024-02-02,14,Atenciones de urgencia - Accidente vascular encefálico,29,0,0,0,9,20
Hospital,2024-02-02,15,Atenciones de urgencia - Crisis hipertensiva,15,0,0,1,11,3
Hospital,2024-02-02,16,Atenciones de urgencia - Arritmia grave,9,0,0,1,4,4
Hospital,2024-02-02,17,Atenciones de urgencia - Otras causas circulatorias,116,0,0,2,58,56
Hospital,2024-02-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,45,0,0,0,21,24
Hospital,2024-02-02,25,Hospitalizaciones - Total,476,20,15,21,258,162
Hospital,2024-03-02,1,Atenciones de urgencia - Total,3742,228,327,490,1999,698
Hospital,2024-03-02,12,Atenciones de urgencia - Total Sistema Circulatorio,194,2,7,12,104,69
Hospital,2024-03-02,13,Atenciones de urgencia - Infarto agudo miocardio,4,0,0,0,1,3
Hospital,2024-03-02,14,Atenciones de urgencia - Accidente vascular encefálico,33,0,0,0,16,17
Hospital,2024-03-02,15,Atenciones de urgencia - Crisis hipertensiva,8,0,0,0,4,4
Hospital,2024-03-02,16,Atenciones de urgencia - Arritmia grave,17,0,0,0,9,8
Hospital,2024-03-02,17,Atenciones de urgencia - Otras causas circulatorias,132,2,7,12,74,37
Hospital,2024-03-02,22,Hospitalizaciones - CAUSAS SISTEMA CIRCULATORIO,53,0,0,1,25,27
Hospital,2024-03-02,25,Hospitalizaciones - Total,450,22,15,24,227,162
Hospital,2024-04-02,1,Atenciones de urgencia - Total,5086,245,592,1328,2253,668
Hospital,2024-04-02,12,Atenciones de urgencia - Total Sistema Circulatorio,173,0,2,1,94,76
Hospital,2024-04-02,13,Atenciones de urgencia - Infarto agudo miocardio,3,0,0,0,1,2
Hospital,2024-04-02,14,Atenciones de urgencia - Accidente vascular encefálico,26,0,0,0,12,14
