,day,t_min,ht_min,t_max,ht_max,Climatologica,Aritmetica,col_7,col_8,col_9,url,est,year,month,date
0,2.0,11.6,06:07,32.3,17:00,21.3,21.3,24,,,330020/2024/1,330020,2024,1,2024-01-02
1,3.0,13.7,06:40,30.9,16:36,22.6,22.6,24,,,330020/2024/1,330020,2024,1,2024-01-03
2,4.0,13.4,06:57,29.4,15:21,21.2,21.2,24,,,330020/2024/1,330020,2024,1,2024-01-04
3,5.0,13.4,06:43,25.3,15:58,19.5,19.5,24,,,330020/2024/1,330020,2024,1,2024-01-05
4,6.0,13.2,06:44,27.0,15:51,19.4,19.4,24,,,330020/2024/1,330020,2024,1,2024-01-06
5,7.0,12.2,06:47,30.4,16:33,20.7,20.7,24,,,330020/2024/1,330020,2024,1,2024-01-07
6,8.0,12.8,06:15,30.8,15:51,22.0,22.0,24,,,330020/2024/1,330020,2024,1,2024-01-08
7,9.0,11.8,06:16,30.7,15:25,21.6,21.6,24,,,330020/2024/1,330020,2024,1,2024-01-09
8,10.0,12.2,06:52,30.8,16:41,21.5,21.5,24,,,330020/2024/1,330020,2024,1,2024-01-10
9,11.0,15.6,06:46,31.1,16:29,22.4,22.4,24,,,330020/2024/1,330020,2024,1,2024-01-11
10,12.0,13.6,06:22,29.7,15:44,21.0,21.0,24,,,330020/2024/1,330020,2024,1,2024-01-12
11,13.0,11.2,07:25,28.0,16:18,19.6,19.6,24,,,330020/2024/1,330020,2024,1,2024-01-13
12,14.0,11.3,06:58,34.1,16:21,22.0,22.0,24,,,330020/2024/1,330020,2024,1,2024-01-14
13,15.0,13.3,07:17,31.3,15:12,23.5,23.5,24,,,330020/2024/1,330020,2024,1,2024-01-15
14,16.0,11.2,06:42,32.1,17:24,20.7,20.7,24,,,330020/2024/1,330020,2024,1,2024-01-16
15,17.0,14.0,07:15,32.2,14:46,22.8,22.8,24,,,330020/2024/1,330020,2024,1,2024-01-17
16,18.0,13.9,06:28,32.9,17:15,22.5,22.5,24,,,330020/2024/1,330020,2024,1,2024-01-18
17,19.0,14.0,06:57,34.6,16:13,24.4,24.4,24,,,330020/2024/1,330020,2024,1,2024-01-19
18,20.0,14.7,05:29,32.1,16:32,23.6,23.6,24,,,330020/2024/1,330020,2024,1,2024-01-20
19,21.0,14.2,06:14,33.9,16:24,23.6,23.6,24,,,330020/2024/1,330020,2024,1,2024-01-21
20,22.0,15.0,07:19,34.9,15:43,24.9,24.9,24,,,330020/2024/1,330020,2024,1,2024-01-22
21,23.0,15.2,06:50,30.9,17:15,22.9,22.9,24,,,330020/2024/1,330020,2024,1,2024-01-23
22,24.0,15.0,06:03,36.7,15:44,24.6,24.6,24,,,330020/2024/1,330020,2024,1,2024-01-24
23,25.0,16.9,06:38,32.0,14:45,24.3,24.3,24,,,330020/2024/1,330020,2024,1,2024-01-25
24,26.0,14.5,06:59,30.9,17:18,21.3,21.3,24,,,330020/2024/1,330020,2024,1,2024-01-26
25,27.0,15.6,07:31,34.0,15:46,24.1,24.1,24,,,330020/2024/1,330020,2024,1,2024-01-27
26,28.0,17.0,07:48,30.6,16:01,23.7,23.7,24,,,330020/2024/1,330020,2024,1,2024-01-28
27,29.0,15.0,06:15,33.3,15:17,23.4,23.4,24,,,330020/2024/1,330020,2024,1,2024-01-29
28,30.0,15.0,06:21,35.1,16:05,24.5,24.5,24,,,330020/2024/1,330020,2024,1,2024-01-30
29,31.0,15.1,07:20,37.3,16:07,26.1,26.1,24,,,330020/2024/1,330020,2024,1,2024-01-31
